Attribute1,Attribute2,Attribute3,Attribute4,Attribute5,Attribute6,Attribute7
Attribute1,Attribute2,,,Attribute5,Attribute6,Attribute7
vhigh,vhigh,2.0,2.0,small,low,unacc
vhigh,vhigh,2.0,2.0,small,med,unacc
vhigh,vhigh,2.0,2.0,small,high,unacc
vhigh,vhigh,2.0,2.0,med,low,unacc
vhigh,vhigh,2.0,2.0,med,med,unacc
vhigh,vhigh,2.0,2.0,med,high,unacc
vhigh,vhigh,2.0,2.0,big,low,unacc
vhigh,vhigh,2.0,2.0,big,med,unacc
vhigh,vhigh,2.0,2.0,big,high,unacc
vhigh,vhigh,2.0,4.0,small,low,unacc
vhigh,vhigh,2.0,4.0,small,med,unacc
vhigh,vhigh,2.0,4.0,small,high,unacc
vhigh,vhigh,2.0,4.0,med,low,unacc
vhigh,vhigh,2.0,4.0,med,med,unacc
vhigh,vhigh,2.0,4.0,med,high,unacc
vhigh,vhigh,2.0,4.0,big,low,unacc
vhigh,vhigh,2.0,4.0,big,med,unacc
vhigh,vhigh,2.0,4.0,big,high,unacc
vhigh,vhigh,2.0,,small,low,unacc
vhigh,vhigh,2.0,,small,med,unacc
vhigh,vhigh,2.0,,small,high,unacc
vhigh,vhigh,2.0,,med,low,unacc
vhigh,vhigh,2.0,,med,med,unacc
vhigh,vhigh,2.0,,med,high,unacc
vhigh,vhigh,2.0,,big,low,unacc
vhigh,vhigh,2.0,,big,med,unacc
vhigh,vhigh,2.0,,big,high,unacc
vhigh,vhigh,3.0,2.0,small,low,unacc
vhigh,vhigh,3.0,2.0,small,med,unacc
vhigh,vhigh,3.0,2.0,small,high,unacc
vhigh,vhigh,3.0,2.0,med,low,unacc
vhigh,vhigh,3.0,2.0,med,med,unacc
vhigh,vhigh,3.0,2.0,med,high,unacc
vhigh,vhigh,3.0,2.0,big,low,unacc
vhigh,vhigh,3.0,2.0,big,med,unacc
vhigh,vhigh,3.0,2.0,big,high,unacc
vhigh,vhigh,3.0,4.0,small,low,unacc
